Open,High,Low,Close,Volume,EMA,EMAA,vwap,UpperBand1,LowerBand1,UpperBand2,LowerBand2,UpperBand3,LowerBand3
13222.0,13222.0,13218.75,13220.0,63.0,13222.283960280949,13221.685052991545,13222.229269216206,13226.900272140325,13217.558266292088,13231.571275064443,13212.88726336797,13236.242277988562,13208.21626044385
13220.25,13222.25,13220.0,13221.75,38.0,13222.212765576822,13221.69948566009,13222.222471071294,13226.893473995413,13217.551468147176,13231.564476919531,13212.880465223057,13236.23547984365,13208.209462298939
13221.25,13222.25,13220.25,13221.75,22.0,13222.151063499912,13221.71071106896,13222.218622732322,13226.88962565644,13217.547619808203,13231.560628580559,13212.876616884085,13236.231631504677,13208.205613959966
13222.0,13222.0,13219.0,13220.25,36.0,13221.897588366592,13221.38610860919,13222.19272926562,13226.863732189739,13217.521726341502,13231.534735113857,13212.850723417383,13236.205738037976,13208.179720493265
13219.75,13219.75,13214.5,13216.5,138.0,13221.177909917715,13220.300306696035,13221.91947826087,13226.590481184989,13217.248475336752,13231.261484109107,13212.577472412633,13235.932487033226,13207.906469488515
13216.75,13217.0,13214.75,13215.75,81.0,13220.454188595353,13219.28912743025,13221.750422868741,13226.42142579286,13217.079419944623,13231.092428716978,13212.408417020504,13235.763431641097,13207.737414096386
13215.75,13216.5,13215.0,13216.0,37.0,13219.86029678264,13218.558210223528,13221.679335115268,13226.350338039387,13217.00833219115,13231.021340963505,13212.337329267031,13235.692343887624,13207.666326342913
13216.25,13216.25,13213.0,13214.5,54.0,13219.145590544955,13217.65638572941,13221.552100426648,13226.223103350767,13216.88109750253,13230.894106274885,13212.210094578411,13235.565109199004,13207.539091654293
13214.25,13216.75,13214.25,13216.0,44.0,13218.726178472294,13217.288300011764,13221.473066968618,13226.144069892736,13216.8020640445,13230.815072816855,13212.13106112038,13235.486075740973,13207.460058196262
13216.25,13217.5,13215.25,13216.25,44.0,13218.396021342654,13217.057566675816,13221.399760765551,13226.07076368967,13216.728757841433,13230.741766613788,13212.057754917314,13235.412769537907,13207.386751993196
