Open,High,Low,Close,Volume,EMA,EMAA,vwap,UpperBand1,LowerBand1,UpperBand2,LowerBand2,UpperBand3,LowerBand3
13049.25,13050.0,13048.75,13049.25,34,13049.24863724677,13049.352316654276,13047.934677419355,13058.642970192024,13058.642970192024,13069.351262964696,13069.351262964696,13080.059555737365,13080.059555737365
13049.25,13050.0,13049.0,13049.5,8,13049.282152280535,13049.385135175547,13047.944711538461,13058.65300431113,13058.65300431113,13069.361297083802,13069.361297083802,13080.069589856472,13080.069589856472
13049.5,13050.5,13049.25,13050.25,16,13049.41119864313,13049.577327358758,13047.973892405063,13058.682185177733,13058.682185177733,13069.390477950405,13069.390477950405,13080.098770723074,13080.098770723074
13050.25,13050.25,13050.0,13050.0,4,13049.489705490714,13049.671254612367,13047.980283911673,13058.688576684342,13058.688576684342,13069.396869457014,13069.396869457014,13080.105162229684,13080.105162229684
13050.25,13051.75,13050.0,13051.0,36,13049.691078091953,13049.966531365175,13048.063650306749,13058.771943079419,13058.771943079419,13069.48023585209,13069.48023585209,13080.18852862476,13080.18852862476
13050.75,13051.75,13050.5,13051.25,33,13049.89893434636,13050.251746617358,13048.14229618549,13058.85058895816,13058.85058895816,13069.55888173083,13069.55888173083,13080.2671745035,13080.2671745035
13051.5,13051.5,13050.75,13051.25,16,13050.079076433512,13050.47358070239,13048.179046563193,13058.887339335863,13058.887339335863,13069.595632108534,13069.595632108534,13080.303924881204,13080.303924881204
13051.25,13052.0,13051.25,13051.5,25,13050.268532909045,13050.701673879637,13048.239296081278,13058.947588853947,13058.947588853947,13069.655881626619,13069.655881626619,13080.364174399288,13080.364174399288
13051.0,13051.25,13050.0,13050.0,20,13050.232728521172,13050.54574635083,13048.264484978541,13058.97277775121,13058.97277775121,13069.681070523882,13069.681070523882,13080.389363296552,13080.389363296552
13050.0,13050.5,13050.0,13050.5,3,13050.268364718351,13050.53558049509,13048.269271948608,13058.977564721277,13058.977564721277,13069.685857493949,13069.685857493949,13080.394150266618,13080.394150266618
13050.75,13050.75,13049.0,13049.0,22,13050.099249422572,13050.194340385071,13048.280569219958,13058.988861992628,13058.988861992628,13069.6971547653,13069.6971547653,13080.405447537969,13080.405447537969
13048.5,13048.5,13046.75,13048.0,72,13049.819349499563,13049.706709188387,13048.267056856188,13058.975349628858,13058.975349628858,13069.68364240153,13069.68364240153,13080.391935174199,13080.391935174199
13048.5,13049.25,13047.75,13048.75,28,13049.67676956629,13049.494107146524,13048.275935653315,13058.984228425985,13058.984228425985,13069.692521198656,13069.692521198656,13080.400813971326,13080.400813971326
13049.0,13049.0,13049.0,13049.0,14,13049.586533624119,13049.384305558408,13048.282530904358,13058.990823677028,13058.990823677028,13069.6991164497,13069.6991164497,13080.40740922237,13080.40740922237
13048.5,13049.0,13047.75,13047.75,19,13049.341662474237,13049.021126545429,13048.276028277634,13058.984321050304,13058.984321050304,13069.692613822976,13069.692613822976,13080.400906595645,13080.400906595645
13048.0,13048.25,13047.75,13048.25,9,13049.196107477672,13048.84976509089,13048.27587859425,13058.98417136692,13058.98417136692,13069.69246413959,13069.69246413959,13080.40075691226,13080.40075691226
13048.25,13048.25,13047.25,13047.75,14,13049.003293147316,13048.605372848471,13048.271215959468,13058.979508732138,13058.979508732138,13069.68780150481,13069.68780150481,13080.39609427748,13080.39609427748
13048.25,13049.5,13047.75,13048.75,23,13048.969520727675,13048.637512215479,13048.27808988764,13058.98638266031,13058.98638266031,13069.694675432982,13069.694675432982,13080.402968205652,13080.402968205652
13048.5,13049.0,13048.25,13048.5,16,13048.906917963985,13048.606953945371,13048.280284301607,13058.988577074277,13058.988577074277,13069.696869846948,13069.696869846948,13080.405162619618,13080.405162619618
13048.5,13049.0,13048.0,13048.5,11,13048.852662235453,13048.583186401955,13048.281767955801,13058.99006072847,13058.99006072847,13069.698353501142,13069.698353501142,13080.406646273812,13080.406646273812
13049.25,13049.5,13048.75,13049.5,9,13048.938973937395,13048.786922757075,13048.288461538461,13058.99675431113,13058.99675431113,13069.705047083802,13069.705047083802,13080.413339856472,13080.413339856472
13049.25,13049.75,13049.0,13049.0,10,13048.947110745743,13048.834273255503,13048.292779126214,13059.001071898883,13059.001071898883,13069.709364671555,13069.709364671555,13080.417657444224,13080.417657444224
13048.0,13048.25,13048.0,13048.25,6,13048.85416264631,13048.70443475428,13048.29262394196,13059.000916714629,13059.000916714629,13069.7092094873,13069.7092094873,13080.41750225997,13080.41750225997
13048.0,13048.25,13047.5,13048.0,11,13048.74027429347,13048.547893697772,13048.29069069069,13058.99898346336,13058.99898346336,13069.707276236031,13069.707276236031,13080.415569008701,13080.415569008701
13047.75,13049.0,13047.75,13049.0,13,13048.774904387674,13048.648361764934,13048.296185935638,13059.004478708308,13059.004478708308,13069.71277148098,13069.71277148098,13080.42106425365,13080.42106425365
